"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"6";"0, DNI";"R-EU_R0603";"R0603";"R38, R39, R40, R41, R42, R43";"RESISTOR, European symbol";"YAGEO";"RC0603FR-070RL";"2309106";"unknown";
"23";"0.1uF";"C-EUC0603";"C0603";"C4, C8, C15, C16, C17, C18, C20, C21, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39";"CAPACITOR, European symbol";"MURATA";"GRM188R71H104KA93D";"8820023";"unknown";
"4";"1000pF, 2kV";"C-EUC1206";"C1206";"C1, C2, C5, C6";"CAPACITOR, European symbol";"MULTICOMP";"MC1206B102K202CT";"1855909";"unknown";
"1";"10K";"R-EU_R0603";"R0603";"R34";"RESISTOR, European symbol";"YAGEO";"RC0603FR-0710KL";"2133286";"unknown";
"2";"10K, DNI";"R-EU_R0603";"R0603";"R36, R37";"RESISTOR, European symbol";"YAGEO";"RC0603FR-0710KL";"2133286";"unknown";
"3";"10uF";"C-EUC0603";"C0603";"C3, C7, C23";"CAPACITOR, European symbol";"MURATA";"GRM32DR71C106KA01L";"2494299";"unknown";
"1";"1206L050";"1206L050";"1206L";"F1";"1206L Series - POLYFUSE® Lead-Free Surface Mount Resettable PPTC";"LITTELFUSE";"1206L050YR";"1596993";"unknown";
"1";"15uH_10%";"L-EUL4532C";"L4532M";"L1";"INDUCTOR, European symbol";"MURATA";"LQH43CN150K03L";"1515461";"unknown";
"2";"18pF";"C-EUC0603";"C0603";"C22, C24";"CAPACITOR, European symbol";"MURATA";"GRM1885C1H180JA01D";"1828908";"unknown";
"1";"1N4148WS";"1N4148WS";"SOD323-W";"D2";"";"ON SEMICONDUCTOR";"1N4148WS";"2453269";"unknown";
"4";"1k";"R-EU_R0603";"R0603";"R16, R17, R18, R19";"RESISTOR, European symbol";"YAGEO";"RC0603FR-071KL.";"2132444";"unknown";
"1";"1k5";"R-EU_R0603";"R0603";"R3";"RESISTOR, European symbol";"YAGEO";"RC0603FR-071K5L";"2126808";"unknown";
"4";"1uF";"C-EUC0603";"C0603";"C9, C10, C11, C12";"CAPACITOR, European symbol";"MURATA";"GRM188R61C105KA93D";"1828801";"unknown";
"1";"22-05-7028-02";"22-05-7028-02";"7395-02";"J1";"CONNECTOR";"MOLEX";"22-05-7028";"9731601";"unknown";
"2";"220";"R-EU_R0603";"R0603";"R28, R29";"RESISTOR, European symbol";"YAGEO (PHYCOMP)";"RC0603FR-07220RL";"9238409";"unknown";
"1";"3k01";"R-EU_R0603";"R0603";"R35";"RESISTOR, European symbol";"MULTICOMP";"MCMR06X3001FTL";"2073461";"unknown";
"3";"4.7uF";"CPOL-EUCT3216";"CT3216";"C13, C14, C19";"POLARIZED CAPACITOR, European symbol";"MULTICOMP";"MCCTA475M010";"1190110";"unknown";
"12";"49.9";"R-EU_R0603";"R0603";"R20, R21, R22, R23, R24, R25, R26, R27, R30, R31, R32, R33";"RESISTOR, European symbol";"MULTICOMP";"MCMR06X49R9FTL";"2073520";"unknown";
"12";"51";"R-EU_R0603";"R0603";"R1, R2, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13";"RESISTOR, European symbol";"YAGEO";"RC0603FR-0751RL";"1799350";"unknown";
"2";"75";"R-EU_R0603";"R0603";"R14, R15";"RESISTOR, European symbol";"YAGEO";"RC0603FR-0775RL";"1799355";"unknown";
"1";"8Z-25.000MHZMAAJ-T";"8Z-25.000MHZMAAJ-T";"SMD2.5X2";"X1";"";"TXC";"8Z-25.000MAAJ-T";"1842189";"unknown";
"1";"AT24C02C-SSHM-B";"AT24C02C-SSHM-B";"SOIC127P600X175-8N";"U4";"SERIAL EEPROM IC Memory Size:2Kbit,8-SOIC";"MICROCHIP";"AT24C02C-SSHM-B";"1971995";"";
"4";"Blue";"LEDCHIP-LED0603";"CHIP-LED0603";"LED2, LED3, LED4, LED5";"LED";"MULTICOMP";"OVS-0603";"1716770";"unknown";
"1";"DF17(4.0)-20DP-0.5V(57)";"DF17(4.0)-20DP-0.5V(57)";"DF17-20DP";"J5";"";"HIROSE(HRS)";"DF17(4.0)-20DP-0.5V(57)";"2300344";"unknown";
"1";"DF17(4.0)-20DS-0.5V(57)";"DF17(4.0)-20DS-0.5V(57)";"DF17-20DS";"J4";"";"HIROSE(HRS)";"DF17(4.0)-20DS-0.5V(57)";"2300346";"unknown";
"1";"EXMACHINA-LOGO-NAME";"EXMACHINA-LOGO-NAME";"EXM-LOGO-BASELINE";"T3";"";"";"";"unknown";"unknown";
"4";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"JP1, JP2, JP3, JP4";"Fiducial Alignment Points";"";"";"unknown";"unknown";
"1";"Green";"LEDCHIP-LED0603";"CHIP-LED0603";"LED1";"LED";"MULTICOMP";"OVS-0604";"1716771";"unknown";
"2";"H1102FNL";"H1102FNL";"HXXXX";"T1, T2";"";"";"";"unknown";"unknown";
"1";"KSZ8995MA";"KSZ8995MA";"PQFP-128_MQL";"U3";"5 Port 10/100 Switch with PHY";"MICROCHIP";"KSZ8995MA";"2509844";"unknown";
"4";"MOUNT-PAD3,0";"MOUNT-PAD3,0";"P3,0";"MP1, MP2, MP3, MP4";"MOUNTING HOLE with drill center marker";"";"";"unknown";"unknown";
"2";"NE8FAV";"NE8FAV";"NE8FAV";"J2, J3";"";"NEUTRIK";"NE8FAV";"1202031";"unknown";
